parish,burials_0,burials_1,burials_2,burials_3,burials_4,burials_5,burials_6,burials_7,burials_8,burials_9,burials_10,burials_11,burials_12,burials_13,burials_14,burials_15,burials_16,burials_17,burials_18,burials_19,burials_20,burials_21,burials_22,burials_23,burials_24,burials_25,burials_26,burials_27,burials_28,burials_29,burials_30,burials_31,burials_32,burials_33,burials_34,burials_35,burials_36,burials_37,burials_38,burials_39,burials_40,burials_41,burials_42,burials_43,burials_44,burials_45,burials_46,burials_47,burials_48,burials_49,burials_50,burials_51
Alhallows Barking,2,1,4,4,2,5,4,3,4,2,2,3,5,1,2,5,1,3,3,3,2,3,3,1,1,1,2,4,2,4,2,4,8,10,13,25,31,42,4,52,46,39,31,17,19,22,12,7,8,,1,2
Alhallows Breadstreet,1,,,1,1,1,1,,1,,,,2,1,,,,,,,,,,2,,,,1,,,,,3,2,1,2,2,,4,3,1,2,1,,,1,1,,,,,
Alhallows Great,,1,1,4,3,1,,2,3,1,1,1,3,,,,2,2,1,2,1,1,2,3,3,4,3,1,1,2,6,5,2,8,6,21,21,41,59,64,42,38,32,15,11,12,7,6,7,1,,2
Alhallows Honylane,,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,,1,,,,,,,,,,
Alhallows Lesse,2,,3,,1,3,3,1,2,1,2,1,2,,1,1,,2,1,1,2,,,1,,3,,1,1,,2,3,2,2,3,11,17,19,29,25,17,21,18,4,7,8,3,5,2,4,,2
Alhallows Lumbardstreet,2,1,,2,,2,,,,2,,,,1,1,,1,,,,,,1,,,,,,,,2,2,4,5,6,8,7,7,8,11,5,5,2,1,,1,1,,,,2,
Alhallows Staining,,,1,2,,,,1,1,1,1,,1,,,2,,,2,,,2,,1,1,,,1,1,4,1,5,3,5,7,7,14,13,16,16,21,12,10,4,9,6,7,3,1,3,,
Alhallows the Wall,,,7,3,1,3,3,1,2,1,3,2,1,3,2,3,3,2,3,3,2,,2,3,4,,1,2,4,7,8,6,15,22,23,44,46,45,41,41,33,31,15,7,7,17,10,6,3,1,4,4
At the Pesthouse,,,,,,,,,,,,,,,,,,,,,,1,1,,5,4,3,5,6,8,9,10,10,12,9,9,10,12,6,7,8,8,4,1,4,5,1,2,2,1,,1
Bridewel Precinct,1,,,1,1,2,,1,,,1,4,,1,2,,,1,1,,1,,2,,,1,,2,1,,7,2,7,4,7,12,18,22,32,26,23,20,6,3,5,3,1,2,2,3,,2
Christ Church,2,1,5,10,2,3,1,6,4,2,1,1,7,1,2,7,7,1,1,1,2,3,1,4,1,2,3,7,5,12,16,17,22,31,27,43,68,43,55,49,44,34,27,17,8,13,10,3,12,,3,6
Hackney Parish,,6,,3,1,2,1,,3,,,3,,2,1,3,4,3,,5,3,3,,,2,2,2,2,1,2,7,6,10,5,12,10,13,11,22,8,14,8,14,6,3,11,2,4,4,1,3,4
Lambeth Parish,2,4,5,4,4,7,1,7,3,5,2,2,6,5,3,4,2,7,5,,,,6,4,6,4,4,3,4,8,3,4,9,18,13,25,31,46,48,46,49,66,47,29,33,51,54,36,10,12,11,23
Redriff Parish,,,,,,,,,,,,,,,,,2,,3,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rothorith Parish,,,,,,,,,,,,,,,,,,,,,,,,,3,6,1,3,7,9,6,7,3,7,7,7,11,18,17,20,21,30,18,13,12,15,13,13,9,4,5,8
S. Sepulchres Parish,21,17,21,16,,,,,,,,,,,,,,,,,,,,,25,32,45,78,117,150,207,250,325,365,403,447,344,284,301,193,137,123,67,40,22,27,26,14,16,12,8,11
Saviours Southwark,8,10,12,15,20,18,10,12,12,16,17,17,12,19,14,13,22,14,16,14,10,15,14,6,15,16,16,7,21,24,30,52,61,132,160,319,374,419,427,356,364,321,233,106,89,113,79,68,28,22,23,24
St Alban Woodstreet,,2,,,,,,,3,1,1,2,,2,1,1,2,1,,,1,1,2,,3,4,1,3,5,4,2,1,9,8,11,16,12,12,23,10,16,17,5,5,2,3,2,2,2,,1,1
St Alphage,,,3,,2,1,3,2,,,,1,,1,,,,3,,,2,3,2,,,1,,,1,1,4,3,14,16,18,38,40,31,25,11,13,8,5,5,4,1,2,4,,1,1,1
St Andrew Holborn,19,17,25,18,16,15,23,13,21,17,19,24,19,17,19,16,19,16,14,17,15,16,18,19,20,24,37,48,66,117,163,216,198,287,232,399,356,255,271,202,173,147,68,46,40,43,38,25,15,14,13,13
St Andrew Hubbard,1,1,1,1,,1,1,,,,1,,2,,,1,2,,1,,,,1,,,1,1,1,,1,4,1,1,,1,1,6,2,6,3,4,4,2,2,2,6,2,2,,1,3,
St Andrew Undershaft,1,2,2,3,,,,,4,,,2,1,1,1,,2,1,,1,,2,,,1,,2,1,3,1,6,10,9,13,14,18,30,25,25,26,16,10,11,5,4,9,4,2,1,1,,4
St Andrew Wardrobe,3,4,3,4,1,2,2,2,1,3,1,3,1,5,1,1,3,3,5,1,1,,,3,2,1,2,2,1,5,6,2,11,24,21,35,48,46,63,50,30,23,13,8,6,8,5,4,2,,1,4
St Ann Aldersgate,1,,1,1,,3,2,1,1,,,3,,1,,2,1,,2,,,1,,,1,,,,1,2,,5,5,15,18,21,30,31,33,20,28,15,10,6,2,5,4,4,1,,2,3
St Ann Blackfryers,,4,2,1,5,2,2,2,2,2,2,,2,2,4,4,3,,1,1,2,3,3,3,4,1,2,1,7,10,19,10,21,11,22,41,47,64,79,39,57,61,30,17,9,18,13,5,6,3,2,1
St Antholins Parish,,,1,1,,1,,2,1,,3,,1,,,,,1,,1,,1,,,,1,,,1,,,,,1,,4,10,2,6,8,7,1,2,,,,,1,1,,,
St Austins Parish,,,2,,1,1,1,,,1,,,,,,,,,,,1,1,1,1,,,1,1,,1,1,,,2,,3,1,4,2,5,4,5,1,,,,,1,,1,,
St Bartholomew Exchange,,,,,,1,,,,1,,1,,,,,,2,,1,3,1,,,,,1,1,1,,,,2,1,2,4,2,6,3,6,7,4,4,5,2,2,4,3,2,1,,
St Bartholomew Great,5,,,1,1,3,5,4,2,6,2,2,2,1,2,,,,4,,,2,,,2,4,1,4,4,13,15,14,30,64,58,72,48,32,21,20,17,6,9,,3,4,1,3,2,1,,3
St Bartholomew Lesse,2,2,,1,2,,2,2,,1,,,2,,,,,,,1,1,,,,,,1,2,,5,2,5,12,9,19,12,23,19,14,11,7,7,5,6,6,3,4,2,1,1,,1
St Bennet Fynck,,2,,3,,,,,,,,,,1,1,1,,,1,,,,,,,1,1,1,,,,,1,1,2,2,5,5,1,2,4,2,5,2,,2,1,,,,,
St Bennet Gracechurch,,,,,1,,,,,,,,,1,1,,,,,,1,1,,,,,,,2,,,1,,3,,1,1,5,5,3,4,11,4,2,,1,2,,2,1,2,2
St Bennet Paulswharf,3,2,4,1,2,2,3,,2,1,2,2,,1,,,1,1,,,,2,,4,3,6,1,6,7,6,10,6,9,13,16,41,30,30,35,30,15,22,10,6,2,7,3,1,1,2,2,2
