death,week_0,week_01,week_02,week_03,week_04,week_05,week_06,week_07,week_08,week_09,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51
Executed,1.0,,,,,1.0,,,,2.0,4.0,,2.0,,,,6,,,,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Killed in a Crane at Alhallows Barking,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drowned 2, one at St. Magdalen Bermondsey, and one at St. Clement Danes",,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Killed 2, one at St. Giles in the Fields, and one by a fall from a Mast at St. Mary Whitechappel",,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned at St. Mary Whitechappel,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed with a Cart at St. Giles Cripplegate,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broke her scull by a fall in the street at St. Mary Woolchurch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Broke his neck by a fall aboard a Ship at S. Katherines Tower,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnt (accidentally) at St. Giles Cripplegate,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnt (by accident) at St. Leonard Shoreditch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Burnt at St. Sepulchres,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
