0,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_29,1_30,1_31,1_32,1_33,1_34,1_35,1_36,1_37,1_38,1_39,1_40,1_41,1_42,1_43,1_44,1_45,1_46,1_47,1_48,1_49,1_50,1_51
[illustration] [blazon or coat of arms],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABortive,2.0,4.0,1.0,6.0,5,2.0,3.0,2.0,2.0,2.0,2.0,6.0,,4.0,2,2.0,5,4.0,5.0,,2.0,4.0,4.0,,,2.0,3.0,5.0,6.0,3.0,5.0,5.0,5.0,6.0,4.0,6.0,2.0,23.0,5.0,6.0,4.0,4.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,,1.0
Aged,23.0,21.0,27.0,39.0,44,36.0,31.0,38.0,32.0,38.0,28.0,31.0,,31.0,30,28.0,38,25.0,29.0,,22.0,23.0,23.0,,,27.0,19.0,22.0,14.0,43.0,31.0,30.0,36.0,54.0,45.0,52.0,52.0,57.0,43.0,50.0,42.0,36.0,28.0,24.0,22.0,20.0,18.0,11.0,10.0,11.0,,11.0
Apoplexie,2.0,,,1.0,1,,,1.0,,1.0,1.0,1.0,,,1,1.0,,,1.0,,,,,,1.0,,,,,3.0,1.0,,1.0,1.0,,,1.0,,1.0,2.0,,1.0,2.0,,,1.0,,,,1.0,,
Canker,1.0,,,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,
Childbed,5.0,7.0,7.0,8.0,,,3.0,6.0,5.0,2.0,,,7.0,3.0,,,8,5.0,,,,4.0,13.0,,9.0,7.0,7.0,10.0,10.0,10.0,19.0,16.0,25.0,23.0,28.0,40.0,38.0,39.0,42.0,42.0,14.0,11.0,21.0,12.0,11.0,13.0,14.0,5.0,6.0,8.0,10.0,2.0
Chrisomes,6.0,12.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,8.0,10.0,14.0,6.0,10.0,16.0,21.0,24.0,22.0,15.0,9.0,19.0,28.0,20.0,18.0,11.0,7.0,9.0,27.0,6.0,8.0,6.0,5.0,3.0,9.0,6.0,4.0,5.0
Consumption,64.0,57.0,82.0,80.0,96,77.0,67.0,89.0,65.0,95.0,87.0,85.0,77.0,66.0,77,87.0,56,,89.0,80.0,75.0,73.0,80.0,63.0,98.0,103.0,83.0,76.0,116.0,104.0,136.0,131.0,130.0,174.0,126.0,145.0,106.0,129.0,134.0,99.0,103.0,98.0,77.0,59.0,67.0,61.0,49.0,43.0,29.0,61.0,35.0,62.0
Convulsion,22.0,26.0,24.0,31.0,36,44.0,35.0,43.0,41.0,28.0,38.0,34.0,24.0,37.0,30,25.0,25,33.0,27.0,22.0,34.0,35.0,29.0,31.0,38.0,28.0,31.0,26.0,41.0,38.0,52.0,63.0,58.0,88.0,89.0,93.0,81.0,71.0,64.0,63.0,60.0,53.0,51.0,25.0,27.0,36.0,30.0,13.0,11.0,12.0,17.0,20.0
Dropsie,15.0,24.0,31.0,27.0,39,29.0,32.0,44.0,43.0,36.0,44.0,40.0,34.0,23.0,19,31.0,21,33.0,38.0,15.0,22.0,26.0,27.0,27.0,28.0,24.0,22.0,26.0,20.0,28.0,53.0,24.0,32.0,40.0,53.0,34.0,18.0,31.0,33.0,22.0,33.0,27.0,25.0,17.0,24.0,11.0,14.0,13.0,15.0,18.0,14.0,21.0
