parish,plague_0,plague_1,plague_2,plague_3,plague_4,plague_5,plague_6,plague_7,plague_8,plague_9,plague_10,plague_11,plague_12,plague_13,plague_14,plague_15,plague_16,plague_17,plague_18,plague_19,plague_20,plague_21,plague_22,plague_23,plague_24,plague_25,plague_26,plague_27,plague_28,plague_29,plague_30,plague_31,plague_32,plague_33,plague_34,plague_35,plague_36,plague_37,plague_38,plague_39,plague_40,plague_41,plague_42,plague_43,plague_44,plague_45,plague_46,plague_47,plague_48,plague_49,plague_50,plague_51
Alhallows Barking,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,7,11,21,23,32,32,41,34,26,26,16,18,19,10,6,4,,,
Alhallows Breadstreet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,3,3,1,2,1,,,,1,,,,,
Alhallows Great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,5,5,10,9,32,53,59,41,34,30,14,9,11,7,5,5,,,2
Alhallows Honylane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,,,,,,,,,
Alhallows Lesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,2,9,16,17,26,24,17,21,16,4,3,7,3,2,2,,,2
Alhallows Lumbardstreet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,4,7,6,5,7,10,5,5,2,1,,,,,,,2,
Alhallows Staining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,2,5,5,11,8,10,11,18,8,9,2,7,5,6,1,,,,
Alhallows the Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,5,3,13,18,11,40,40,40,30,35,28,28,13,5,6,14,10,5,2,,1,1
At the Pesthouse,,,,,,,,,,,,,,,,,,,,,,1,1,,4,4,3,5,6,8,8,10,10,12,9,9,10,12,6,7,8,8,4,1,4,4,1,2,1,1,,1
Bridewel Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,4,2,5,2,5,9,17,19,31,24,23,14,4,2,3,3,1,2,1,2,,2
