0,1,2,3,4,5,6,7,8
,Bur,Pl.,,Bur,Pl.,,Bur,Pâ€¢
St ALbans Woodstreet,,,St George Botolphlane,,,St Martins Lâ€¢â€¢â€¢â€¢â€¢â€¢e,1,
Alhallows Barkinâ€¢,5,,St Gregories by St Pauls,,,St Martins Orgars,1,
Alhallows Breadstreet,2,,St Hellins,1,,St Martins Oâ€¢â€¢â€¢itch,2,
Alhallows Great,3,,St James Dukes place,,,St Martins Vintrey,1,
Alhallows Honylane,,,St James Garlickhithe,,,St Mathew Fridayâ€¢â€¢reâ€¢â€¢,,
Alhallows Lesse,2,,St John Baptist,3,,St Mâ€¢â€¢dlin Milã€ˆ7 lettersã€‰,,
Alhallows Lumbardstr,,,St John Evangelist,,,St Maudlins â€¢ldâ€¢â€¢â€¢â€¢â€¢â€¢,,
Alhallows Stayning,1,,St John Zachary,,,St Michael Baâ€¢â€¢â€¢â€¢haw,2,
Alhallows the Wall,1,,St Katharine Coleman,2,,St Michael Cornhil,,
St Alphage,,,St Katharine crechurch,1,,St Michael Crookedla.,,
St Andrew Hubbard,2,,St Lawrence Jewry,,,St Michael Queenhithe,1,
St Andrew Undershaft,1,,St Lawrence Pountney,,,St Michael Quern,,
St Andrew Wardrobe,1,,St Leonard Eastcheap,,,St Michael Royall,1,
St Ann Aldersgate,,,St Leonard Fosterlane,1,,St Michael Woodstreet,,
St Ann Blackfryers,2,,St Magnus Parish,,,St Mildred Breadstreet,2,
St Antholins Parish,1,,St Margaret Lothbury,1,,St Mildred Poultrey,,
St Austins Parish,,,St Margaret Moses,1,,St Nicholas Acons,1,
St Bartholomew Exch.,,,St Margaret Newfishst,,,St Nicholas Coleabby,,
St Bennet Fynck,,,St Margaret Pattons,,,St Nicholas Olaves,1,
St Bennet Gracechurch,,,St Mary Abchurch,,,St Olaves Hartstreet,,
St Bennet Paulswharf,,,St Mary Aldermanbury,,,St Olaves Jewry,,
St Bennet Sherchog,,,St Mary Aldermary,,,St Olaves Silverstreet,3,
St Botolph Billingsgate,,,St Mary le Bow,,,St Pancras Soperlans,,
Christs Church,7,,St Mary Bothaw,,,St Peters Cheap,,
St Christophers,,,St Mary Colechurch,,,St Peters Cornhil,1,
St Clement Eastcheap,,,St Mary Hill,1,,St Peters Paulswharf,1,
St Dionis Backchurch,,,St Mary Mounthaw,1,,St Peters Poor,1,
St Dunstans â€¢aâ€¢t,3,,St Mary Sommerset,1,,St Stevens Colemanstr.,2,
St Edm. Lumbardstreet,1,,St Mary Staynings,,,St Stevens Walbrook,,
St Ethelbourgh,,,St Mary Woolchurch,1,,St Swithins,,
St Faiths,1,,St Mary Wolnoth,1,,St Thomas Apostle,1,
St Fosters,1,,St Martins Iremongerl.,,,Trinity Parish,1,
St Gabriel Fenchurch,,,,,,,,
Buried in the 97 Parishes within the Walls 69 Plague 0,,,,,,,,
St Andrews Molborn,19,,St Botolph Aldgate,13,,St Saviours Southwark,12,
St Bartholomew Greaâ€¢,2,,St Botolph Bishopsgate,7,,St Sepulchres Parish,17,
St Bartholomew Lesse,2,,St Dunstans West,1,,St Thomas Southwark,1,
St Brides Parish,9,,St George Southwark,6,,Trinity Minories,1,
Bridewel Precinet,,,St Giles Cripplegate,19,,At the Pesthouse,,
St Botolph Aldersgate,6,,St Olaves Southwark,18,,,,
"Buried in the 16 Parishes without the Walls, and at the Pesthouse 133 Plague 0",,,,,,,,
St Giles in the fields,17,,Lambeth Parish,6,,St Mary Islington,2,
Hackney Parish,,,St Leonard Shoreditch,10,,St Mary Whitechappel,11,
St James Clerkenwel,10,,St Magdalen Bermond,,,Redriff Parish,,
St Kath. neer the Tower,3,,St Mary Newington,3,,Stepney Parish,36,
Buried in the 12 out Parishes in Middlesex and Surry 98 Plague 0,,,,,,,,
St Clement Danes,8,,St Martins in the fields,24,,St Margaret Westminst.,23,
St Paul Covent Garden,3,,St Mary Savoy,5,,Whereof at the Pesthouse,,
Buried in the 5 Parishes in the City and Liberties of Westminster 63 Plague 0,,,,,,,,
