0,1
[illustration] [blazon or coat of arms],
ABortive,4.0
Aged,36.0
Apoplexie,1.0
Bloody flux,1.0
Childbed,11.0
Chrisomes,9.0
Consumption,98.0
Convulsion,53.0
Dropsie,27.0
Distracted,1.0
Feaver,199.0
Fistula,1.0
Flox and Small-pox,5.0
Flux,1.0
French-pox,1.0
Frighted,2.0
Gowt,1.0
Grief,3.0
Griping in the Guts,22.0
Jaundies,3.0
Imposthume,7.0
Infants,14.0
Kingsevil,1.0
Lethargy,2.0
Overlaid,1.0
Palsie,3.0
Plague,4327.0
Plurisie,1.0
Quinsie,1.0
Rickets,13.0
Rising of the Lights,7.0
Rupture,1.0
Scowring,3.0
Scurvy,2.0
Spotted Feaver,60.0
Stilborn,11.0
Stone,1.0
Stopping of the stomach,7.0
Suddenly,2.0
Surfeit,30.0
Teeth,73.0
Thrush,1.0
Timpany,1.0
Tissick,4.0
Ulcer,1.0
Winde,5.0
Wormes,11.0
