parish,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43,week44,week45,week46,week47,week48,week49,week50,week51,week52
Alhallows Barking,2.0,1.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,2.0,2.0,3.0,5.0,1.0,2.0,5.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,4.0,8.0,10.0,13.0,25.0,31.0,42.0,4.0,52.0,46.0,39.0,31.0,17.0,19.0,22.0,12.0,7.0,8.0,0.0,1.0,2.0
Alhallows Breadstreet,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,0.0,4.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Alhallows Great,0.0,1.0,1.0,4.0,3.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,1.0,1.0,2.0,6.0,5.0,2.0,8.0,6.0,21.0,21.0,41.0,59.0,64.0,42.0,38.0,32.0,15.0,11.0,12.0,7.0,6.0,7.0,1.0,0.0,2.0
Alhallows Honylane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alhallows Lesse,2.0,0.0,3.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,3.0,11.0,17.0,19.0,29.0,25.0,17.0,21.0,18.0,4.0,7.0,8.0,3.0,5.0,2.0,4.0,0.0,2.0
Alhallows Lumbardstreet,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,6.0,8.0,7.0,7.0,8.0,11.0,5.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
Alhallows Staining,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,5.0,3.0,5.0,7.0,7.0,14.0,13.0,16.0,16.0,21.0,12.0,10.0,4.0,9.0,6.0,7.0,3.0,1.0,3.0,0.0,0.0
Alhallows the Wall,0.0,0.0,7.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0,3.0,4.0,0.0,1.0,2.0,4.0,7.0,8.0,6.0,15.0,22.0,23.0,44.0,46.0,45.0,41.0,41.0,33.0,31.0,15.0,7.0,7.0,17.0,10.0,6.0,3.0,1.0,4.0,4.0
At the Pesthouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,4.0,3.0,5.0,6.0,8.0,9.0,10.0,10.0,12.0,9.0,9.0,10.0,12.0,6.0,7.0,8.0,8.0,4.0,1.0,4.0,5.0,1.0,2.0,2.0,1.0,0.0,1.0
Bridewel Precinct,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,7.0,2.0,7.0,4.0,7.0,12.0,18.0,22.0,32.0,26.0,23.0,20.0,6.0,3.0,5.0,3.0,1.0,2.0,2.0,3.0,0.0,2.0
